0,1     ,2     ,3 ,4 ,5 ,6 ,7     ,8 ,9 ,10,11,12,13    ,14
2,19.67 ,0.375 ,24,7 ,14,17,2.0   ,23,23,2 ,23,7 ,80.0  ,0
2,51.58 ,15.0  ,24,7 ,3 ,17,8.5   ,23,23,9 ,6 ,7 ,0.0   ,0
2,28.75 ,1.5   ,27,26,3 ,17,1.5   ,23,6 ,0 ,23,7 ,0.0   ,225
2,32.25 ,14.0  ,27,26,66,66,0.0   ,6 ,23,2 ,6 ,7 ,160.0 ,1
2,33.0  ,2.5   ,27,26,15,17,7.0   ,6 ,6 ,0 ,23,7 ,280.0 ,0
2,29.83 ,1.25  ,27,26,10,17,0.25  ,6 ,6 ,0 ,6 ,7 ,224.0 ,0
2,32.92 ,2.5   ,24,7 ,11,17,1.75  ,6 ,23,2 ,23,7 ,720.0 ,0
1,58.33 ,10.0  ,24,7 ,14,17,4.0   ,23,23,14,6 ,7 ,0.0   ,1602
2,19.42 ,6.5   ,24,7 ,15,18,1.46  ,23,23,7 ,6 ,7 ,80.0  ,2954
2,16.17 ,0.04  ,24,7 ,3 ,17,0.04  ,6 ,6 ,0 ,6 ,7 ,0.0   ,0
1,26.58 ,2.54  ,27,26,66,66,0.0   ,6 ,6 ,0 ,23,7 ,180.0 ,60
2,32.83 ,2.5   ,24,7 ,33,18,2.75  ,23,23,6 ,6 ,7 ,160.0 ,2072
1,15.83 ,7.625 ,24,7 ,14,17,0.125 ,6 ,23,1 ,23,7 ,0.0   ,160
1,19.17 ,8.585 ,24,7 ,33,18,0.75  ,23,23,7 ,6 ,7 ,96.0  ,0
2,42.75 ,3.0   ,24,7 ,8 ,22,1.0   ,23,6 ,0 ,6 ,7 ,0.0   ,200
2,64.08 ,20.0  ,24,7 ,16,18,17.5  ,23,23,9 ,23,7 ,0.0   ,1000
2,37.75 ,7.0   ,24,7 ,14,18,11.5  ,23,23,7 ,23,7 ,300.0 ,5
2,28.25 ,5.04  ,27,26,3 ,22,1.5   ,23,23,8 ,23,7 ,144.0 ,7
1,24.92 ,1.25  ,24,7 ,66,66,0.0   ,23,6 ,0 ,6 ,7 ,80.0  ,0
2,27.75 ,0.585 ,27,26,33,17,0.25  ,23,23,2 ,6 ,7 ,260.0 ,500
2,76.75 ,22.29 ,24,7 ,5 ,20,12.75 ,23,23,1 ,23,7 ,0.0   ,109
1,35.17 ,3.75  ,24,7 ,66,66,0.0   ,6 ,23,6 ,6 ,7 ,0.0   ,200
2,29.58 ,4.5   ,24,7 ,15,17,7.5   ,23,23,2 ,23,7 ,330.0 ,0
2,17.08 ,0.25  ,24,7 ,14,17,0.335 ,6 ,23,4 ,6 ,7 ,160.0 ,8
1,28.58 ,1.665 ,24,7 ,14,17,2.415 ,23,6 ,0 ,23,7 ,440.0 ,0
1,22.67 ,0.75  ,24,7 ,3 ,17,2.0   ,6 ,23,2 ,23,7 ,200.0 ,394
2,19.33 ,10.915,24,7 ,3 ,22,0.585 ,6 ,23,2 ,23,7 ,200.0 ,7
2,25.58 ,0.335 ,24,7 ,10,18,3.5   ,6 ,6 ,0 ,23,7 ,340.0 ,0
2,28.25 ,5.125 ,24,7 ,16,17,4.75  ,23,23,2 ,6 ,7 ,420.0 ,7
1,17.67 ,0.0   ,27,26,9 ,66,0.0   ,6 ,6 ,0 ,6 ,7 ,86.0  ,0
2,41.5  ,1.54  ,24,7 ,8 ,22,3.5   ,6 ,6 ,0 ,6 ,7 ,216.0 ,0
1,57.08 ,0.335 ,24,7 ,8 ,22,1.0   ,23,6 ,0 ,23,7 ,252.0 ,2197
2,27.67 ,2.0   ,24,7 ,16,18,1.0   ,23,23,4 ,6 ,7 ,140.0 ,7544
1,55.75 ,7.08  ,24,7 ,10,18,6.75  ,23,23,3 ,23,7 ,100.0 ,50
2,23.5  ,2.75  ,24,7 ,66,66,4.5   ,6 ,6 ,0 ,6 ,7 ,160.0 ,25
2,38.67 ,0.21  ,24,7 ,10,17,0.085 ,23,6 ,0 ,23,7 ,280.0 ,0
2,48.75 ,26.335,27,26,66,66,0.0   ,23,6 ,0 ,23,7 ,0.0   ,0
2,37.5  ,1.75  ,27,26,3 ,22,0.25  ,23,6 ,0 ,23,7 ,164.0 ,400
1,35.75 ,0.915 ,24,7 ,11,17,0.75  ,23,23,4 ,6 ,7 ,0.0   ,1583
1,23.25 ,5.875 ,24,7 ,14,17,3.17  ,23,23,10,6 ,7 ,120.0 ,245
2,20.67 ,0.415 ,24,7 ,3 ,17,0.125 ,6 ,6 ,0 ,6 ,7 ,0.0   ,44
2,34.17 ,9.17  ,24,7 ,3 ,17,4.5   ,23,23,12,23,7 ,0.0   ,221
2,42.75 ,4.085 ,24,7 ,11,17,0.04  ,6 ,6 ,0 ,6 ,7 ,108.0 ,100
1,23.5  ,9.0   ,24,7 ,14,17,8.5   ,23,23,5 ,23,7 ,120.0 ,0
2,40.92 ,0.5   ,27,26,12,17,0.5   ,6 ,6 ,0 ,23,7 ,130.0 ,0
2,38.17 ,10.125,24,7 ,16,17,2.5   ,23,23,6 ,6 ,7 ,520.0 ,196
2,29.42 ,1.25  ,24,7 ,3 ,18,0.25  ,6 ,23,2 ,23,7 ,400.0 ,108
1,68.67 ,15.0  ,24,7 ,5 ,20,0.0   ,23,23,14,6 ,7 ,0.0   ,3376
2,28.25 ,0.875 ,24,7 ,12,17,0.96  ,23,23,3 ,23,7 ,396.0 ,0
2,37.5  ,1.125 ,27,26,4 ,17,1.5   ,6 ,6 ,0 ,23,7 ,431.0 ,0
1,18.83 ,4.415 ,27,26,3 ,18,3.0   ,23,6 ,0 ,6 ,7 ,240.0 ,0
1,41.0  ,2.04  ,27,26,14,18,0.125 ,23,23,23,23,7 ,455.0 ,1236
2,20.42 ,7.5   ,24,7 ,10,17,1.5   ,23,23,1 ,6 ,7 ,160.0 ,234
2,35.17 ,4.5   ,24,7 ,16,18,5.75  ,6 ,6 ,0 ,23,25,711.0 ,0
2,27.83 ,1.5   ,24,7 ,15,17,2.0   ,23,23,11,23,7 ,434.0 ,35
2,21.58 ,0.79  ,27,26,33,17,0.665 ,6 ,6 ,0 ,6 ,7 ,160.0 ,0
2,26.92 ,2.25  ,24,7 ,8 ,22,0.5   ,6 ,6 ,0 ,23,7 ,640.0 ,4000
2,37.58 ,0.0   ,24,7 ,14,19,0.0   ,6 ,6 ,0 ,6 ,26,240.0 ,0
2,44.25 ,0.5   ,24,7 ,12,17,10.75 ,23,6 ,0 ,6 ,25,400.0 ,0
2,18.42 ,10.415,27,26,11,17,0.125 ,23,6 ,0 ,6 ,7 ,120.0 ,375
2,18.08 ,5.5   ,24,7 ,10,17,0.5   ,23,6 ,0 ,6 ,7 ,80.0  ,0
2,28.67 ,9.335 ,24,7 ,14,18,5.665 ,23,23,6 ,6 ,7 ,381.0 ,168
2,23.25 ,1.5   ,24,7 ,14,17,2.375 ,23,23,3 ,23,7 ,0.0   ,582
2,40.08 ,0.04  ,27,26,4 ,17,4.25  ,6 ,6 ,0 ,23,7 ,460.0 ,0
2,20.17 ,8.17  ,24,7 ,11,17,1.96  ,23,23,14,6 ,7 ,60.0  ,158
2,41.33 ,0.0   ,24,7 ,3 ,22,15.0  ,23,6 ,0 ,6 ,7 ,0.0   ,0
2,23.58 ,1.79  ,24,7 ,3 ,17,0.54  ,6 ,6 ,0 ,23,7 ,136.0 ,1
2,20.42 ,0.0   ,27,26,8 ,17,0.0   ,6 ,6 ,0 ,6 ,26,205.5 ,0
1,32.33 ,0.54  ,24,7 ,33,17,0.04  ,23,6 ,0 ,6 ,7 ,440.0 ,11177
2,29.92 ,1.835 ,24,7 ,3 ,18,4.335 ,23,6 ,0 ,6 ,7 ,260.0 ,200
2,28.17 ,0.125 ,27,26,10,17,0.085 ,6 ,6 ,0 ,6 ,7 ,216.0 ,2100
2,23.33 ,11.625,27,26,15,17,0.835 ,23,6 ,0 ,23,7 ,160.0 ,300
2,31.08 ,1.5   ,27,26,15,17,0.04  ,6 ,6 ,0 ,6 ,25,160.0 ,0
1,40.33 ,7.54  ,27,26,14,18,8.0   ,23,23,14,6 ,7 ,0.0   ,2300
1,44.17 ,6.665 ,24,7 ,14,17,7.375 ,23,23,3 ,23,7 ,0.0   ,0
1,22.75 ,6.165 ,24,7 ,11,17,0.165 ,6 ,6 ,0 ,6 ,7 ,220.0 ,1000
2,36.08 ,2.54  ,24,7 ,66,66,0.0   ,6 ,6 ,0 ,6 ,7 ,0.0   ,1000
1,30.25 ,5.5   ,24,7 ,10,17,5.5   ,6 ,6 ,0 ,23,25,100.0 ,0
1,57.58 ,2.0   ,24,7 ,66,66,6.5   ,6 ,23,1 ,6 ,7 ,0.0   ,10
1,36.58 ,0.29  ,24,7 ,66,66,0.0   ,6 ,23,10,6 ,7 ,200.0 ,18
2,42.5  ,4.915 ,27,26,15,17,3.165 ,23,6 ,0 ,23,7 ,52.0  ,1442
2,23.5  ,3.165 ,27,26,10,17,0.415 ,6 ,23,1 ,23,7 ,280.0 ,80
2,39.33 ,5.875 ,24,7 ,33,18,10.0  ,23,23,14,23,7 ,399.0 ,0
1,23.58 ,0.83  ,24,7 ,14,17,0.415 ,6 ,23,1 ,23,7 ,200.0 ,11
2,44.83 ,7.0   ,27,26,3 ,17,1.625 ,6 ,6 ,0 ,6 ,7 ,160.0 ,2
2,36.33 ,3.79  ,24,7 ,15,17,1.165 ,23,6 ,0 ,23,7 ,200.0 ,0
2,30.17 ,6.5   ,24,7 ,33,17,3.125 ,23,23,8 ,6 ,7 ,330.0 ,1200
1,31.92 ,3.125 ,24,7 ,66,66,3.04  ,6 ,23,2 ,23,7 ,200.0 ,4
2,36.42 ,0.75  ,27,26,4 ,17,0.585 ,6 ,6 ,0 ,6 ,7 ,240.0 ,3
2,27.83 ,1.54  ,24,7 ,15,17,3.75  ,23,23,5 ,23,7 ,100.0 ,3
2,62.5  ,12.75 ,27,26,3 ,18,5.0   ,23,6 ,0 ,6 ,7 ,112.0 ,0
2,21.17 ,0.0   ,24,7 ,3 ,17,0.5   ,6 ,6 ,0 ,23,25,0.0   ,0
2,30.83 ,0.0   ,24,7 ,15,17,1.25  ,23,23,1 ,6 ,7 ,202.0 ,0
2,62.75 ,7.0   ,24,7 ,5 ,20,0.0   ,6 ,6 ,0 ,6 ,7 ,0.0   ,12
1,38.75 ,1.5   ,24,7 ,66,66,0.0   ,6 ,6 ,0 ,6 ,7 ,76.0  ,0
2,27.75 ,1.29  ,24,7 ,10,18,0.25  ,6 ,6 ,0 ,23,25,140.0 ,0
1,28.08 ,15.0  ,27,26,5 ,20,0.0   ,23,6 ,0 ,6 ,7 ,0.0   ,13212
2,28.17 ,0.585 ,24,7 ,11,17,0.04  ,6 ,6 ,0 ,6 ,7 ,260.0 ,1004
2,17.08 ,3.29  ,24,7 ,8 ,17,0.335 ,6 ,6 ,0 ,23,7 ,140.0 ,2
2,56.75 ,12.25 ,24,7 ,12,17,1.25  ,23,23,4 ,23,7 ,200.0 ,0
2,21.08 ,4.125 ,27,26,8 ,18,0.04  ,6 ,6 ,0 ,6 ,7 ,140.0 ,100
1,26.92 ,13.5  ,24,7 ,14,18,5.0   ,23,23,2 ,6 ,7 ,0.0   ,5000
2,25.17 ,6.0   ,24,7 ,3 ,17,1.0   ,23,23,3 ,6 ,7 ,0.0   ,0
2,31.42 ,0.375 ,24,7 ,4 ,17,0.875 ,23,6 ,0 ,23,25,928.0 ,0
2,32.42 ,3.0   ,24,7 ,4 ,17,0.165 ,6 ,6 ,0 ,23,7 ,120.0 ,0
2,39.83 ,0.5   ,24,7 ,12,17,0.25  ,23,6 ,0 ,6 ,25,288.0 ,0
2,39.92 ,6.21  ,24,7 ,14,17,0.04  ,23,23,1 ,6 ,7 ,200.0 ,300
2,26.67 ,2.71  ,27,26,33,17,5.25  ,23,23,1 ,6 ,7 ,211.0 ,0
2,25.67 ,0.29  ,27,26,3 ,17,1.5   ,6 ,6 ,0 ,23,7 ,160.0 ,0
1,29.5  ,1.085 ,27,26,16,17,1.0   ,6 ,6 ,0 ,6 ,7 ,280.0 ,13
2,19.5  ,0.29  ,24,7 ,10,17,0.29  ,6 ,6 ,0 ,6 ,7 ,280.0 ,364
2,19.0  ,0.0   ,27,26,66,66,0.0   ,6 ,23,4 ,6 ,7 ,45.0  ,1
1,20.67 ,3.0   ,24,7 ,14,17,0.165 ,23,23,3 ,6 ,7 ,100.0 ,6
2,25.17 ,3.5   ,24,7 ,33,17,0.625 ,23,23,7 ,6 ,7 ,0.0   ,7059
1,40.33 ,8.125 ,27,26,10,17,0.165 ,6 ,23,2 ,6 ,7 ,1000.0,18
2,74.83 ,19.0  ,27,26,66,66,0.04  ,6 ,23,2 ,6 ,7 ,0.0   ,351
1,33.67 ,0.375 ,24,7 ,33,17,0.375 ,6 ,6 ,0 ,6 ,7 ,300.0 ,44
2,21.92 ,0.5   ,24,7 ,3 ,17,0.125 ,6 ,6 ,0 ,6 ,7 ,360.0 ,0
1,25.0  ,0.875 ,24,7 ,16,18,1.04  ,23,6 ,0 ,23,7 ,160.0 ,5860
2,24.42 ,12.335,24,7 ,14,18,1.585 ,23,6 ,0 ,23,7 ,120.0 ,0
2,38.42 ,0.705 ,24,7 ,3 ,17,0.375 ,6 ,23,2 ,6 ,7 ,225.0 ,500
2,35.25 ,3.165 ,24,7 ,16,18,3.75  ,23,6 ,0 ,23,7 ,680.0 ,0
2,37.17 ,4.0   ,24,7 ,3 ,22,5.0   ,23,6 ,0 ,23,25,280.0 ,0
1,40.83 ,10.0  ,24,7 ,14,18,1.75  ,23,6 ,0 ,6 ,7 ,29.0  ,837
1,22.5  ,0.415 ,24,7 ,8 ,17,0.335 ,6 ,6 ,0 ,23,25,144.0 ,0
1,23.0  ,11.75 ,24,7 ,16,18,0.5   ,23,23,2 ,23,7 ,300.0 ,551
2,29.83 ,2.04  ,27,26,16,18,0.04  ,6 ,6 ,0 ,6 ,7 ,128.0 ,1
2,43.0  ,0.29  ,27,26,33,18,1.75  ,23,23,8 ,6 ,7 ,100.0 ,375
2,25.5  ,0.375 ,24,7 ,12,17,0.25  ,23,23,3 ,6 ,7 ,260.0 ,15108
2,32.08 ,4.0   ,24,7 ,12,17,2.5   ,23,6 ,0 ,23,7 ,360.0 ,0
2,44.33 ,0.5   ,24,7 ,8 ,18,5.0   ,23,6 ,0 ,23,7 ,320.0 ,0
2,57.42 ,8.5   ,24,7 ,5 ,18,7.0   ,23,23,3 ,6 ,7 ,0.0   ,0
1,46.67 ,0.46  ,24,7 ,33,18,0.415 ,23,23,11,23,7 ,440.0 ,6
2,37.5  ,0.835 ,24,7 ,5 ,17,0.04  ,6 ,6 ,0 ,6 ,7 ,120.0 ,5
2,48.75 ,8.5   ,24,7 ,3 ,18,12.5  ,23,23,9 ,6 ,7 ,181.0 ,1655
1,42.25 ,1.75  ,27,26,10,17,0.0   ,6 ,6 ,0 ,23,7 ,150.0 ,1
2,32.33 ,7.5   ,24,7 ,5 ,22,1.585 ,23,6 ,0 ,23,25,420.0 ,0
2,31.67 ,16.165,24,7 ,4 ,17,3.0   ,23,23,9 ,6 ,7 ,250.0 ,730
2,33.75 ,2.75  ,24,7 ,8 ,22,0.0   ,6 ,6 ,0 ,6 ,7 ,180.0 ,0
2,43.17 ,2.25  ,24,7 ,8 ,22,0.75  ,23,6 ,0 ,6 ,7 ,560.0 ,0
1,19.5  ,0.165 ,24,7 ,14,17,0.04  ,6 ,6 ,0 ,23,7 ,380.0 ,0
2,23.08 ,11.5  ,24,7 ,15,18,2.125 ,23,23,11,23,7 ,290.0 ,284
2,31.25 ,2.835 ,24,7 ,66,66,0.0   ,6 ,23,5 ,6 ,7 ,176.0 ,146
2,48.17 ,7.625 ,24,7 ,15,18,15.5  ,23,23,12,6 ,7 ,0.0   ,790
2,44.25 ,11.0  ,27,26,4 ,17,1.5   ,23,6 ,0 ,6 ,25,0.0   ,0
1,18.92 ,9.0   ,24,7 ,11,17,0.75  ,23,23,2 ,6 ,7 ,88.0  ,591
2,21.0  ,3.0   ,27,26,4 ,17,1.085 ,23,23,8 ,23,7 ,160.0 ,1
1,52.5  ,7.0   ,24,7 ,11,18,3.0   ,6 ,6 ,0 ,6 ,7 ,0.0   ,0
2,19.5  ,9.585 ,24,7 ,11,17,0.79  ,6 ,6 ,0 ,6 ,7 ,80.0  ,350
1,23.58 ,11.5  ,27,26,10,18,3.0   ,6 ,6 ,0 ,23,7 ,20.0  ,16
1,16.5  ,1.25  ,24,7 ,14,17,0.25  ,6 ,23,1 ,6 ,7 ,108.0 ,98
2,30.08 ,1.04  ,27,26,8 ,22,0.5   ,23,23,10,23,7 ,132.0 ,28
2,37.33 ,2.665 ,24,7 ,33,17,0.165 ,6 ,6 ,0 ,23,7 ,0.0   ,501
2,42.83 ,4.625 ,24,7 ,14,17,4.58  ,23,6 ,0 ,6 ,25,0.0   ,0
2,19.42 ,7.25  ,24,7 ,12,17,0.04  ,6 ,23,1 ,6 ,7 ,100.0 ,1
2,33.58 ,2.75  ,24,7 ,12,17,4.25  ,23,23,6 ,6 ,7 ,204.0 ,0
2,31.58 ,0.75  ,27,26,11,17,3.5   ,6 ,6 ,0 ,23,7 ,320.0 ,0
2,41.0  ,0.04  ,24,7 ,5 ,17,0.04  ,6 ,23,1 ,6 ,25,560.0 ,0
2,17.25 ,3.0   ,24,7 ,10,17,0.04  ,6 ,6 ,0 ,23,7 ,160.0 ,40
2,34.83 ,2.5   ,27,26,15,17,3.0   ,6 ,6 ,0 ,6 ,25,200.0 ,0
