0,1     ,2     ,3 ,4 ,5 ,6 ,7     ,8 ,9 ,10,11,12,13    ,14
1,18.17 ,10.0  ,27,26,14,18,0.165 ,6 ,6 ,0 ,6 ,7 ,340.0 ,0
2,23.25 ,4.0   ,24,7 ,3 ,22,0.25  ,23,6 ,0 ,23,7 ,160.0 ,0
1,22.67 ,7.0   ,24,7 ,3 ,17,0.165 ,6 ,6 ,0 ,6 ,7 ,160.0 ,0
1,47.25 ,0.75  ,24,7 ,14,18,2.75  ,23,23,1 ,6 ,7 ,333.0 ,892
2,21.33 ,10.5  ,24,7 ,3 ,17,3.0   ,23,6 ,0 ,23,7 ,0.0   ,0
1,28.58 ,3.54  ,24,7 ,8 ,22,0.5   ,23,6 ,0 ,23,7 ,171.0 ,0
1,28.75 ,3.75  ,24,7 ,3 ,17,1.085 ,23,23,1 ,23,7 ,371.0 ,0
2,21.83 ,11.0  ,24,7 ,16,17,0.29  ,23,23,6 ,6 ,7 ,121.0 ,0
1,45.83 ,10.5  ,24,7 ,14,17,5.0   ,23,23,7 ,23,7 ,0.0   ,0
2,27.25 ,1.585 ,24,7 ,33,18,1.835 ,23,23,12,23,7 ,583.0 ,713
2,32.75 ,1.5   ,24,7 ,33,18,5.5   ,23,23,3 ,23,7 ,0.0   ,0
1,69.5  ,6.0   ,24,7 ,66,66,0.0   ,6 ,6 ,0 ,6 ,25,0.0   ,0
2,65.42 ,11.0  ,24,7 ,5 ,20,20.0  ,23,23,7 ,23,7 ,22.0  ,0
2,40.92 ,0.835 ,24,7 ,66,66,0.0   ,23,6 ,0 ,6 ,7 ,130.0 ,1
2,80.25 ,5.5   ,24,7 ,15,22,0.54  ,23,6 ,0 ,6 ,7 ,0.0   ,340
1,24.08 ,0.5   ,24,7 ,14,18,1.25  ,23,23,1 ,6 ,7 ,0.0   ,678
2,23.17 ,0.0   ,24,7 ,3 ,18,0.0   ,6 ,6 ,0 ,6 ,26,301.0 ,0
1,50.25 ,0.835 ,24,7 ,11,17,0.5   ,6 ,6 ,0 ,23,7 ,240.0 ,117
1,16.08 ,0.335 ,24,7 ,66,66,0.0   ,6 ,23,1 ,6 ,7 ,160.0 ,126
2,17.08 ,0.085 ,27,26,3 ,17,0.04  ,6 ,6 ,0 ,6 ,7 ,140.0 ,722
2,18.83 ,0.415 ,27,26,3 ,17,0.165 ,6 ,23,1 ,6 ,7 ,200.0 ,1
2,29.5  ,0.58  ,24,7 ,15,17,0.29  ,6 ,23,1 ,6 ,7 ,340.0 ,2803
2,20.67 ,0.625 ,24,7 ,10,17,0.25  ,6 ,6 ,0 ,6 ,7 ,380.0 ,2010
1,20.33 ,10.0  ,24,7 ,3 ,18,1.0   ,23,23,4 ,6 ,7 ,50.0  ,1465
2,27.67 ,0.75  ,24,7 ,14,18,0.165 ,6 ,6 ,0 ,23,7 ,220.0 ,251
2,31.83 ,0.04  ,27,26,12,17,0.04  ,6 ,6 ,0 ,6 ,7 ,0.0   ,0
2,22.67 ,2.54  ,27,26,3 ,18,2.585 ,23,6 ,0 ,6 ,7 ,0.0   ,0
1,47.42 ,3.0   ,24,7 ,16,17,13.875,23,23,2 ,23,7 ,519.0 ,1704
1,20.42 ,10.5  ,27,26,16,18,0.0   ,6 ,6 ,0 ,23,7 ,154.0 ,32
2,33.67 ,1.25  ,24,7 ,15,17,1.165 ,6 ,6 ,0 ,6 ,7 ,120.0 ,0
1,23.42 ,0.79  ,27,26,14,17,1.5   ,23,23,2 ,23,7 ,80.0  ,400
2,32.25 ,0.165 ,27,26,3 ,18,3.25  ,23,23,1 ,23,7 ,432.0 ,8000
1,17.92 ,10.21 ,24,7 ,66,66,0.0   ,6 ,6 ,0 ,6 ,7 ,0.0   ,50
1,48.17 ,1.335 ,24,7 ,8 ,21,0.335 ,6 ,6 ,0 ,6 ,7 ,0.0   ,120
2,36.17 ,18.125,24,7 ,15,17,0.085 ,6 ,6 ,0 ,6 ,7 ,320.0 ,3552
2,60.08 ,14.5  ,24,7 ,66,66,18.0  ,23,23,15,23,7 ,0.0   ,1000
2,18.83 ,3.54  ,27,26,66,66,0.0   ,6 ,6 ,0 ,23,7 ,180.0 ,1
2,16.5  ,0.125 ,24,7 ,3 ,17,0.165 ,6 ,6 ,0 ,6 ,7 ,132.0 ,0
2,34.83 ,4.0   ,24,7 ,4 ,22,12.5  ,23,6 ,0 ,23,7 ,700.0 ,0
2,22.08 ,11.46 ,24,7 ,10,17,1.585 ,6 ,6 ,0 ,23,7 ,100.0 ,1212
1,29.5  ,0.46  ,24,7 ,10,17,0.54  ,23,23,4 ,6 ,7 ,380.0 ,500
1,17.83 ,11.0  ,24,7 ,16,18,1.0   ,23,23,11,6 ,7 ,0.0   ,3000
2,23.92 ,1.5   ,24,7 ,4 ,18,1.875 ,23,23,6 ,6 ,7 ,200.0 ,327
1,36.75 ,4.71  ,24,7 ,66,66,0.0   ,6 ,6 ,0 ,6 ,7 ,160.0 ,0
2,24.42 ,2.0   ,24,7 ,5 ,44,0.165 ,6 ,23,2 ,6 ,7 ,320.0 ,1300
2,20.67 ,0.835 ,27,26,3 ,17,2.0   ,6 ,6 ,0 ,23,25,240.0 ,0
2,16.25 ,0.0   ,27,26,11,17,0.25  ,6 ,6 ,0 ,6 ,7 ,60.0  ,0
1,25.0  ,12.33 ,24,7 ,33,18,3.5   ,23,23,6 ,6 ,7 ,400.0 ,458
2,19.17 ,4.0   ,27,26,8 ,17,1.0   ,6 ,6 ,0 ,23,7 ,360.0 ,1000
2,20.67 ,5.29  ,24,7 ,14,17,0.375 ,23,23,1 ,6 ,7 ,160.0 ,0
1,18.75 ,7.5   ,24,7 ,14,17,2.71  ,23,23,5 ,6 ,7 ,95.0  ,26726
1,25.33 ,2.085 ,24,7 ,3 ,18,2.75  ,23,6 ,0 ,23,7 ,360.0 ,1
2,56.58 ,18.5  ,24,7 ,4 ,22,15.0  ,23,23,17,23,7 ,0.0   ,0
2,48.33 ,12.0  ,24,7 ,12,17,16.0  ,23,6 ,0 ,6 ,25,110.0 ,0
2,29.58 ,4.75  ,24,7 ,12,17,2.0   ,6 ,23,1 ,23,7 ,460.0 ,68
1,25.08 ,2.54  ,27,26,11,17,0.25  ,23,6 ,0 ,23,7 ,370.0 ,0
1,35.42 ,12.0  ,24,7 ,14,18,14.0  ,23,23,8 ,6 ,7 ,0.0   ,6590
2,57.83 ,7.04  ,24,7 ,12,17,14.0  ,23,23,6 ,23,7 ,360.0 ,1332
1,58.42 ,21.0  ,24,7 ,8 ,22,10.0  ,23,23,13,6 ,7 ,0.0   ,6700
2,73.42 ,17.75 ,24,7 ,66,66,0.0   ,23,6 ,0 ,23,7 ,0.0   ,0
2,23.92 ,0.585 ,27,26,33,18,0.125 ,6 ,6 ,0 ,6 ,7 ,240.0 ,1
2,24.33 ,6.625 ,27,26,4 ,17,5.5   ,23,6 ,0 ,23,25,100.0 ,0
1,37.75 ,5.5   ,24,7 ,14,17,0.125 ,23,6 ,0 ,23,7 ,228.0 ,0
2,27.0  ,0.75  ,24,7 ,3 ,18,4.25  ,23,23,3 ,23,7 ,312.0 ,150
2,22.92 ,3.165 ,27,26,3 ,17,0.165 ,6 ,6 ,0 ,6 ,7 ,160.0 ,1058
2,20.0  ,11.045,24,7 ,3 ,17,2.0   ,6 ,6 ,0 ,23,7 ,136.0 ,0
1,18.92 ,9.25  ,27,26,3 ,17,1.0   ,23,23,4 ,23,7 ,80.0  ,500
2,34.58 ,0.0   ,24,7 ,15,17,0.0   ,6 ,6 ,0 ,6 ,26,280.0 ,0
1,17.92 ,0.54  ,24,7 ,3 ,17,1.75  ,6 ,23,1 ,23,7 ,80.0  ,5
1,36.0  ,1.0   ,24,7 ,3 ,17,2.0   ,23,23,11,6 ,7 ,0.0   ,456
2,17.58 ,10.0  ,24,7 ,15,18,0.165 ,6 ,23,1 ,6 ,7 ,120.0 ,1
1,33.25 ,2.5   ,27,26,3 ,17,2.5   ,6 ,6 ,0 ,23,7 ,0.0   ,2
2,19.67 ,10.0  ,27,26,10,18,0.835 ,23,6 ,0 ,23,7 ,140.0 ,0
1,22.58 ,10.75 ,24,7 ,14,17,0.415 ,23,23,5 ,23,7 ,0.0   ,560
2,40.58 ,1.5   ,24,7 ,8 ,22,0.0   ,6 ,6 ,0 ,6 ,25,300.0 ,0
1,18.25 ,10.0  ,24,7 ,15,17,1.0   ,6 ,23,1 ,6 ,7 ,120.0 ,1
2,48.58 ,0.205 ,27,26,10,17,0.25  ,23,23,11,6 ,7 ,380.0 ,2732
2,15.17 ,7.0   ,24,7 ,5 ,17,1.0   ,6 ,6 ,0 ,6 ,7 ,600.0 ,0
1,18.08 ,0.375 ,68,77,33,66,10.0  ,6 ,6 ,0 ,23,25,300.0 ,0
2,20.25 ,9.96  ,24,7 ,5 ,44,0.0   ,23,6 ,0 ,6 ,7 ,0.0   ,0
2,32.08 ,4.0   ,27,26,33,17,1.5   ,6 ,6 ,0 ,23,7 ,120.0 ,0
2,25.17 ,3.0   ,24,7 ,3 ,17,1.25  ,6 ,23,1 ,6 ,7 ,0.0   ,22
2,22.25 ,9.0   ,24,7 ,11,17,0.085 ,6 ,6 ,0 ,6 ,7 ,0.0   ,0
1,23.5  ,1.5   ,24,7 ,15,17,0.875 ,6 ,6 ,0 ,23,7 ,160.0 ,0
2,21.5  ,9.75  ,24,7 ,3 ,17,0.25  ,23,6 ,0 ,6 ,7 ,140.0 ,0
2,32.25 ,1.5   ,24,7 ,3 ,17,0.25  ,6 ,6 ,0 ,23,7 ,372.0 ,122
1,24.5  ,2.415 ,27,26,3 ,17,0.0   ,6 ,6 ,0 ,6 ,7 ,120.0 ,0
2,43.25 ,3.0   ,24,7 ,14,18,6.0   ,23,23,11,6 ,7 ,80.0  ,0
2,51.42 ,0.04  ,24,7 ,16,18,0.04  ,23,6 ,0 ,6 ,7 ,0.0   ,3000
2,39.17 ,1.625 ,24,7 ,3 ,17,1.5   ,23,23,10,6 ,7 ,186.0 ,4700
2,19.17 ,0.0   ,27,26,12,22,0.0   ,6 ,6 ,0 ,23,25,500.0 ,1
2,20.0  ,1.25  ,27,26,10,17,0.125 ,6 ,6 ,0 ,6 ,7 ,140.0 ,4
2,22.67 ,1.585 ,27,26,15,17,3.085 ,23,23,6 ,6 ,7 ,80.0  ,0
2,54.42 ,0.5   ,27,26,10,18,3.96  ,23,6 ,0 ,6 ,7 ,180.0 ,314
2,27.25 ,1.665 ,24,7 ,33,18,5.085 ,23,23,9 ,6 ,7 ,399.0 ,827
2,21.33 ,7.5   ,24,7 ,11,17,1.415 ,23,23,1 ,6 ,7 ,80.0  ,9800
2,27.0  ,1.5   ,27,26,15,17,0.375 ,23,6 ,0 ,23,7 ,260.0 ,1065
1,18.42 ,9.25  ,24,7 ,14,17,1.21  ,23,23,4 ,6 ,7 ,60.0  ,540
2,22.08 ,0.83  ,24,7 ,3 ,18,2.165 ,6 ,6 ,0 ,23,7 ,128.0 ,0
2,34.0  ,5.085 ,27,26,8 ,22,1.085 ,6 ,6 ,0 ,23,7 ,480.0 ,0
2,33.67 ,2.165 ,24,7 ,3 ,17,1.5   ,6 ,6 ,0 ,6 ,26,120.0 ,0
1,20.75 ,10.335,24,7 ,33,18,0.335 ,23,23,1 ,23,7 ,80.0  ,50
1,22.42 ,5.665 ,24,7 ,14,17,2.585 ,23,23,7 ,6 ,7 ,129.0 ,3257
2,54.33 ,6.75  ,24,7 ,3 ,18,2.625 ,23,23,11,23,7 ,0.0   ,284
2,34.08 ,6.5   ,24,7 ,11,17,0.125 ,23,6 ,0 ,23,7 ,443.0 ,0
2,24.83 ,2.75  ,24,7 ,3 ,17,2.25  ,23,23,6 ,6 ,7 ,24.5  ,600
2,22.92 ,0.17  ,24,7 ,12,17,0.085 ,6 ,6 ,0 ,6 ,25,0.0   ,0
2,20.17 ,9.25  ,24,7 ,3 ,17,1.665 ,23,23,3 ,23,7 ,40.0  ,28
2,21.67 ,1.165 ,27,26,10,17,2.5   ,23,23,1 ,6 ,7 ,180.0 ,20
2,17.42 ,6.5   ,24,7 ,8 ,17,0.125 ,6 ,6 ,0 ,6 ,7 ,60.0  ,100
1,28.5  ,1.0   ,24,7 ,14,17,1.0   ,23,23,2 ,23,7 ,167.0 ,500
2,30.67 ,2.5   ,24,7 ,33,18,2.25  ,6 ,6 ,0 ,23,25,340.0 ,0
1,45.0  ,4.585 ,24,7 ,10,18,1.0   ,6 ,6 ,0 ,23,25,240.0 ,0
2,43.17 ,5.0   ,24,7 ,8 ,22,2.25  ,6 ,6 ,0 ,23,7 ,141.0 ,0
1,26.08 ,8.665 ,24,7 ,11,17,1.415 ,23,6 ,0 ,6 ,7 ,160.0 ,150
2,22.0  ,7.835 ,27,26,8 ,22,0.165 ,6 ,6 ,0 ,23,7 ,40.0  ,0
1,34.83 ,1.25  ,27,26,8 ,18,0.5   ,6 ,6 ,0 ,23,7 ,160.0 ,0
2,38.25 ,10.125,27,26,10,17,0.125 ,6 ,6 ,0 ,6 ,7 ,160.0 ,0
1,32.0  ,6.0   ,24,7 ,4 ,17,1.25  ,6 ,6 ,0 ,6 ,7 ,272.0 ,0
2,41.17 ,4.04  ,24,7 ,33,18,7.0   ,23,23,8 ,6 ,7 ,320.0 ,0
1,21.25 ,2.335 ,24,7 ,8 ,22,0.5   ,23,23,4 ,6 ,25,80.0  ,0
2,33.5  ,1.75  ,24,7 ,16,18,4.5   ,23,23,4 ,23,7 ,253.0 ,857
1,46.0  ,4.0   ,24,7 ,9 ,9 ,0.0   ,23,6 ,0 ,6 ,7 ,100.0 ,960
2,23.33 ,1.5   ,24,7 ,3 ,18,1.415 ,23,6 ,0 ,6 ,7 ,422.0 ,200
2,36.75 ,0.125 ,27,26,3 ,17,1.5   ,6 ,6 ,0 ,23,7 ,232.0 ,113
2,39.5  ,1.625 ,24,7 ,3 ,17,1.5   ,6 ,6 ,0 ,6 ,7 ,0.0   ,316
1,20.42 ,0.835 ,24,7 ,14,17,1.585 ,23,23,1 ,6 ,7 ,0.0   ,0
2,36.33 ,2.125 ,27,26,15,17,0.085 ,23,23,1 ,6 ,7 ,50.0  ,1187
1,16.0  ,0.165 ,24,7 ,11,17,1.0   ,6 ,23,2 ,23,7 ,320.0 ,1
2,41.58 ,1.75  ,24,7 ,10,17,0.21  ,23,6 ,0 ,6 ,7 ,160.0 ,0
1,56.83 ,4.25  ,27,26,66,66,5.0   ,6 ,6 ,0 ,23,7 ,0.0   ,4
1,16.33 ,0.21  ,24,7 ,11,17,0.125 ,6 ,6 ,0 ,6 ,7 ,200.0 ,1
2,52.33 ,1.375 ,27,26,3 ,18,9.46  ,23,6 ,0 ,23,7 ,200.0 ,100
2,34.08 ,0.08  ,27,26,12,22,0.04  ,23,23,1 ,23,7 ,280.0 ,2000
2,36.67 ,2.0   ,24,7 ,8 ,17,0.25  ,6 ,6 ,0 ,23,7 ,221.0 ,0
2,20.08 ,0.25  ,24,7 ,14,17,0.125 ,6 ,6 ,0 ,6 ,7 ,200.0 ,0
2,50.75 ,0.585 ,24,7 ,66,66,0.0   ,6 ,6 ,0 ,6 ,7 ,145.0 ,0
2,29.25 ,13.0  ,24,7 ,4 ,18,0.5   ,6 ,6 ,0 ,6 ,7 ,228.0 ,0
2,40.83 ,3.5   ,24,7 ,8 ,22,0.5   ,6 ,6 ,0 ,6 ,25,1160.0,0
2,18.17 ,2.46  ,24,7 ,3 ,19,0.96  ,6 ,23,2 ,23,7 ,160.0 ,587
2,19.58 ,0.585 ,24,7 ,66,66,0.0   ,6 ,23,3 ,6 ,7 ,350.0 ,769
2,53.92 ,9.625 ,24,7 ,5 ,17,8.665 ,23,23,5 ,6 ,7 ,0.0   ,0
1,15.75 ,0.375 ,24,7 ,3 ,17,1.0   ,6 ,6 ,0 ,6 ,7 ,120.0 ,18
2,22.75 ,11.5  ,24,7 ,8 ,17,0.415 ,6 ,6 ,0 ,6 ,7 ,0.0   ,0
2,28.58 ,3.625 ,24,7 ,11,17,0.25  ,6 ,6 ,0 ,23,7 ,100.0 ,0
1,36.75 ,5.125 ,24,7 ,5 ,17,5.0   ,23,6 ,0 ,23,7 ,0.0   ,4000
2,42.08 ,1.04  ,24,7 ,15,17,5.0   ,23,23,6 ,23,7 ,500.0 ,10000
2,25.75 ,0.75  ,24,7 ,3 ,22,0.25  ,23,6 ,0 ,6 ,7 ,349.0 ,23
2,34.17 ,1.54  ,24,7 ,33,17,1.54  ,23,23,1 ,23,7 ,520.0 ,50000
2,26.5  ,2.71  ,27,26,8 ,17,0.085 ,6 ,6 ,0 ,6 ,25,80.0  ,0
1,22.92 ,11.585,24,7 ,33,17,0.04  ,23,6 ,0 ,6 ,7 ,80.0  ,1349
1,18.83 ,9.5   ,24,7 ,15,17,1.625 ,23,23,6 ,23,7 ,40.0  ,600
2,38.92 ,1.75  ,24,7 ,10,17,0.5   ,6 ,6 ,0 ,23,7 ,300.0 ,2
2,35.0  ,2.5   ,24,7 ,8 ,17,1.0   ,6 ,6 ,0 ,23,7 ,210.0 ,0
1,24.5  ,0.5   ,24,7 ,14,18,1.5   ,23,6 ,0 ,6 ,7 ,280.0 ,824
2,25.33 ,0.58  ,24,7 ,3 ,17,0.29  ,23,23,7 ,23,7 ,96.0  ,5124
2,51.83 ,3.0   ,27,26,66,66,1.5   ,6 ,6 ,0 ,6 ,7 ,180.0 ,4
1,21.75 ,11.75 ,24,7 ,3 ,17,0.25  ,6 ,6 ,0 ,23,7 ,180.0 ,0
2,41.92 ,0.42  ,24,7 ,3 ,18,0.21  ,23,23,6 ,6 ,7 ,220.0 ,948
2,52.42 ,1.5   ,24,7 ,4 ,17,3.75  ,6 ,6 ,0 ,23,7 ,0.0   ,350
2,34.17 ,2.75  ,24,7 ,8 ,22,2.5   ,6 ,6 ,0 ,23,7 ,232.0 ,200
